age,gender,how long have you been swimming competively ,what coping mechanism do you use to overcome / duce anxiety,do you find talking to someone helps ? i so who,what distance do you swim,what part of your race was affected ?,name ,do you think it was a good race ,was the time you gove a personal best ?,were you nervouse before the race ?,how do you think the nervousness affected your race ?,on a scale of 10 how nervous were you ,did your nervousness afftect you physically ,how long fore your race did you start to feel nervous ,do you think if you did not feel nervous goy would uave performed better ?,did you do anything to feel less nervous ,do you think it worked ? ,have you felt like this before in practice 
24, female, 10+ years, visualization, coach, long, endurance, Divya Shah, yes, yes, no, in a positive way,7, no, 10 minutes, no, yes, yes,
21, male, 3-5 years, yoga, teammate, short, sprint, Varun Reddy, yes, yes, yes, in a negative way,9, yes, 5 minutes, yes, no, no,
22, female, 5-7 years, breathing exercises, family, medium, middle, Priya Sinha, no, no, yes, in a positive way,6, no, 20 minutes, no, yes, no,
18, male, 1-3 years, stretching, friend, long, endurance, Siddharth Kumar, yes, yes, no, in a negative way,8, yes, 30 minutes, yes, no, yes,
19, female, 3-5 years, meditation, sibling, short, sprint, Anjali Desai, no, no, yes, in a positive way,7, no, 25 minutes, no, yes, no,
20, male, 7-10 years, deep breathing, teammate, medium, middle, Akshay Patel, yes, yes, no, in a negative way,9, yes, 10 minutes, yes, no, yes,
24, female, 10+ years, visualization, coach, long, endurance, Shruti Menon, yes, no, yes, in a positive way,6, no, 20 minutes, no, yes, yes,
21, male, 1-3 years, listening to music, family, short, sprint, Pranav Sharma, no, no, yes, in a negative way,8, yes, 5 minutes, yes, no, yes,
22, female, 3-5 years, yoga, friend, medium, middle, Ishita Reddy, yes, yes, no, in a positive way,7, no, 30 minutes, no, yes, no,
19, male, 5-7 years, breathing exercises, coach, long, endurance, Shyam Iyer, yes, yes, yes, in a negative way,9, yes, 15 minutes, yes, no, yes,
23, female, 7-10 years, meditation, sibling, short, sprint, Radhika Nair, no, no, yes, in a positive way,6, no, 10 minutes, no, yes, yes,
20, male, 1-3 years, stretching, teammate, medium, middle, Tejas Patel, yes, yes, no, in a negative way,8, yes, 25 minutes, yes, no, yes,
18, female, 3-5 years, listening to music, friend, long, endurance, Sneha Sharma, yes, no, yes, in a positive way,7, no, 30 minutes, no, yes, no,
22, male, 7-10 years, deep breathing, family, short, sprint, Vivek Menon, no, no, yes, in a negative way,9, yes, 5 minutes, yes, no, yes,
24, female, 10+ years, yoga, coach, medium, middle, Pooja Rao, yes, yes, no, in a positive way,6, no, 20 minutes, no, yes, yes,
21, male, 1-3 years, meditation, sibling, long, endurance, Abhinav Joshi, yes, yes, yes, in a negative way,8, yes, 10 minutes, yes, no, yes,
19, female, 3-5 years, visualization, teammate, short, sprint, Neha Reddy, no, no, yes, in a positive way,7, no, 25 minutes, no, yes, no,
22, male, 5-7 years, deep breathing, friend, medium, middle, Aravind Kumar, yes, yes, no, in a negative way,9, yes, 30 minutes, yes, no, yes,
20, female, 7-10 years, listening to music, family, long, endurance, Kavita Sharma, yes, no, yes, in a positive way,6, no, 15 minutes, no, yes, yes,
18, male, 1-3 years, yoga, coach, short, sprint, Manish Nair, yes, yes, yes, in a negative way,8, yes, 5 minutes, yes, no, yes,
23, female, 3-5 years, breathing exercises, sibling, medium, middle, Roshni Iyer, no, no, yes, in a positive way,7, no, 20 minutes, no, yes, no,
19, male, 5-7 years, stretching, teammate, long, endurance, Arjun Menon, yes, yes, no, in a negative way,9, yes, 30 minutes, yes, no, yes,
21, female, 7-10 years, meditation, friend, short, sprint, Anika Desai, yes, no, yes, in a positive way,6, no, 10 minutes, no, yes, yes,
20, male, 1-3 years, visualization, family, medium, middle, Rajesh Patel, no, no, yes, in a negative way,8, yes, 5 minutes, yes, no, yes,
22, female, 3-5 years, deep breathing, coach, long, endurance, Shraddha Reddy, yes, yes, yes, in a positive way,7, no, 25 minutes, no, yes, no,
19, male, 5-7 years, listening to music, sibling, short, sprint, Nikhil Sharma, yes, yes, no, in a negative way,9, yes, 10 minutes, yes, no, yes,
21, female, 7-10 years, yoga, friend, medium, middle, Tanya Menon, no, no, yes, in a positive way,6, no, 30 minutes, no, yes, yes,
24, male, 10+ years, meditation, teammate, long, endurance, Ashwin Kumar, yes, yes, yes, in a negative way,8, yes, 5 minutes, yes, no, yes,
20, female, 1-3 years, visualization, family, short, sprint, Sanya Desai, yes, no, yes, in a positive way,7, no, 15 minutes, no, yes, no,
18, male, 3-5 years, deep breathing, coach, medium, middle, Sahil Patel, yes, yes, no, in a negative way,9, yes, 20 minutes, yes, no, yes,
19, female, 5-7 years, listening to music, friend, long, endurance, Aditi Nair, no, no, yes, in a positive way,6, no, 25 minutes, no, yes, yes,
22, male, 7-10 years, yoga, sibling, short, sprint, Kiran Reddy, yes, yes, yes, in a negative way,8, yes, 10 minutes, yes, no, yes,
20, female, 3-5 years, stretching, teammate, medium, middle, Priyanka Joshi, no, no, yes, in a positive way,7, no, 30 minutes, no, yes, no,
